Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
Data Scientist,$95K - $150K (Glassdoor Est.),"If you're a data scientist with a passion for integrating modelling to new businesses. You thrive in deploying solutions to complex data. If this sounds like you, read on.

We are looking for both Mid & Senior Data Scientists so if you're a Senior reading this and looking for a Senior title & package, that's definitely on offer.
Our Data Scientists also work alongside our Research Data Science, Data Engineering , Marketing Science and R&D teams, to share and deliver their applied insights and ideas to help innovate and automate our model workflow and data pipelines.

Maybe you are a Data Scientist with an interest in Marketing, MMM or Bayesian models that wants to explore and better connect our customers' domains to our product, GrowthOS.

Our customers are from a range of sectors including Financial Services, Retail and FMCG and continuing to expand regularly.",,Mutinex,Sydney
Machine Learning Engineer,Employer Provided Salary:$120K - $170K,"Mathspace is on a mission to change maths education, by helping students and teachers with smarter, interactive learning software.
We’re an agile run, product-orientated company that focuses on delivering value through continual customer feedback, enabling students and teachers to have a delightful experience through learning mathematics.
As an ML engineer working on a research-oriented product team, you will:
Work closely with our product manager and infrastructure teams
Improve the ML systems that include diagnosing student ability, estimating student knowledge profiles and recommending appropriate topics
Enrich the Mathspace web and mobile apps that help teach hundreds of thousands of students every month across the world",4.3,"Mathspace
4.3",Sydney
Associate Director – Data & Analytics,$150K (Glassdoor Est.),"The purpose of this role is to facilitate delivery of best in class analytic and data assessments and roadmaps per established processes and templates in concert with other business disciplines, to manage and develop the team and serve as a point of escalation as needed.
Job Title:
Associate Director – Data & Analytics
Job Description:
dentsu is a network designed for what’s next, helping clients predict and plan for disruptive future opportunities and create new paths to growth in the sustainable economy through five global leadership brands; Carat, Dentsu Creative, dentsu X, iProspect and Merkle, each with deep specialisms.
Data in marketing and advertising communications is changing rapidly, as is the technology used to leverage it. As clients prepare for a cookieless, 1st party led world, they need help in designing and implementing analytical solutions to ensure effective media investment and optimisation.
Melbourne - 510 Church Street
Carat
Full time
Permanent",3.7,"Dentsu Aegis Network
3.7",Melbourne
Computer Vision/Machine Learning Software Engineer C++/Python,$90K - $148K (Glassdoor Est.),"Did you get into development to make the next newest and coolest application that makes people go ""WOW"" ? Good, read on...
Algorithmic creative software work
High tech, innovative data science mechatronics startup
World class design and development

One of Sydney's most innovative startups is looking for an engineer with a particular type of vision, one who in time is going to help shape the company's future. Someone who is technically gifted, curious and keen to know the future is before it happens. Aware of real world trends; the new, the mega and interesting and have a very good idea of the effects thereof. AN individual who has the technical capability to make the future they imagine - real.





Whats on offer?
What are they looking for?
Please apply directly or send me an email at michael@mantechit.com.au for a chat, thank you",4.0,"Mantech
4.0",Sydney
Senior Machine Learning Engineer - Computer Vision,$163K - $190K (Glassdoor Est.),"As part of the AI Research and Deployment team, you’ll be helping make this the best place in the world to do applied AI.

\uD835\uDDB6\uD835\uDDC1\uD835\uDDD2 join us?

\uD83D\uDC99 Do work that matters. We’re pioneering AI technologies that help raise the standard of healthcare for millions of people every day.
\uD83C\uDF0F Well-funded and global, backed by world-class investors including Blackbird Ventures, Skip Capital and Horizon Ventures. Raised Australia’s largest Series B ($129m) in 2021.
\uD83C\uDF1FWork with a bunch of awesome, genuine people who are passionate about what they do.
\uD83D\uDCBB Flexible and remote-friendly working
\uD83D\uDE80Make a real impact. You won’t be another ‘cog in the wheel’ here. We give full trust and autonomy for you to be heard, to work on the big hairy projects – and to make a real difference.",4.2,"Harrison.ai
4.2",Sydney
Senior Data Analyst/Scientist,$70K - $126K (Glassdoor Est.),"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",4.1,International Institute of Data & Analytics,Sydney
Data Scientist,$95K - $150K (Glassdoor Est.),"Posted Date 12 September 2022
Location Sydney
Industry Data Science
Contact Name Chris Gray
Contact Email chris@skltechnology.com.au
Permanent roles within a dynamic insurance business | Opportunity to work on projects across a number of divisions
Our client has approval for a number of Data Scientist & Senior Data Scientist roles within their Group Data division. The team is currently 4 in size and they are looking to double due to an increasing need to develop their Machine Learning and Deep Learning capabilities. They are looking for a mix of experience levels and technical strengths.",,SKL Actuarial,Sydney
Principal Applied Scientist/Machine Learning Engineer,Employer Provided Salary:$260K - $300K,"Company Description

Jobs for Humanity is dedicated to building an inclusive and just employment ecosystem. Therefore, we have dedicated this job posting to individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low Vision, Deaf or hard of hearding, Black, Hispanic, Asian, Military Veterans, the Elderly, the LGBTQ, and Justice Impacted individuals. If you identify with any of the following communities do not hesitate to register.

Company Name: Rokt

Job Description

About Rokt

About the role

Responsibilities",4.0,"Rokt
4.0",Sydney
Machine Learning Engineer,$86K - $150K (Glassdoor Est.),"Summary
Beyond Zero Technology is seeking an experienced Machine Learning Engineer to join their team and contribute to the development and deployment of machine learning models and algorithms. The ideal candidate should have a strong background in machine learning, programming skills, and the ability to collaborate with cross-functional teams to optimise model performance and enhance the company's AI capabilities.
About Us
We are an advanced technology solutions company based in Melbourne's East. Delivering innovative and advanced commercial software solutions to some of the most well known Australian and Global Businesses. Our organisation is rapidly growing, and we are looking for a promising young and experienced individual to grow along with us.",,Beyond Zero Technologies,Vermont
Senior Data Scientist,$131K - $149K (Glassdoor Est.),"Primary Details
Time Type: Full time
Worker Type: Employee
Senior Data Scientist
The opportunity
Demonstrate your extensive data science knowledge and experience
Contribute to QBE during a time of extensive data capability uplift
Permanent position with flexible location
Your new role
We have an exciting opportunity for a Senior Data Scientist to join our team. Reporting into the Head of Analytics, you will be responsible for applying scientific principles to business processes and decisions to improve the quality and performance of various business units, translate the decision-making needs and timeframes of internal business unit stakeholders into data driven, analytically tractable and scientifically provable problems and apply scientific methods and big data tools to resolve them. You will be sourcing and integrating relevant data and collaborating with technical and SME peers as required; and communicate results, findings, and recommendations back to business owners with actionable timeframes.
Application Close Date: 26/07/2023 11:59 PM",4.0,"QBE
4.0",Sydney
Lead Data Scientist,$103K - $124K (Glassdoor Est.),"Lead Data Scientist
As a Lead Data Scientist, you will be responsible for developing and implementing data science strategy – which spans analytics through to machine learning across product development, performance improvement and risk management.
If you’re driven to succeed, have a desire to provide exceptional service and want to work for a company you’d be proud to tell your friends about; this is the perfect opportunity for you.

Responsibilities
Data Strategy",,DNA Talent,Melbourne
Data Scientist,$103K - $124K (Glassdoor Est.),"Multiple Positions
Ongoing, long-term contract
Remote working option
About the organization:
Leading governmental organization looking for Data Scientists. You will have the opportunity to contribute to a vital cause by creating innovative software solutions to support their complex data management and analysis needs.

About the role:
As a Data Scientist you will be at the forefront of driving data-centric decisions and developing cutting-edge solutions. Collaborating with cross-functional teams, you will work on a wide range of projects.





If the above sounds like something you’d be interested in, please hit apply now or alternatively send your updated CV to Maaz@technologypeople.com.au.",4.0,"Technology People Australia
4.0",Melbourne
"Consultant, Data & Analytics",$65K - $95K (Glassdoor Est.),"Want to bring ideas to life?
You’re in the right place. If you’re looking for a fresh challenge, why choose Aurecon? It comes down to one, crucial question. What kind of world do you want to create for the next generation? Truth is, the decisions being made right now will determine the future of everything – from the local community to the entire planet. One of those decisions is: who do you decide to work for?
How will your ideas contribute to shaping what’s next?
As a Consultant in Data & Analytics you will work with stakeholders from a variety of industries, such as water and engineering to analyse, interpretate and manipulate different types of data.
Your role will include:
Embrace explorative techniques to analyse and manipulate large datasets and automate the processes using Python",3.8,"Aurecon Group
3.8",Melbourne
Technology Specialist Machine Learning,$168K - $214K (Glassdoor Est.),"Why Microsoft

Microsoft’s mission is to empower every person and every organization on the planet to achieve more. As employees we come together with a growth mindset, innovate to empower others and collaborate to realize our shared goals. Each day we build on our values of respect, integrity, and accountability to create a culture of inclusion where everyone can thrive at work and beyond.

This role sits in our Global Black Belt (GBB) organization, which is a team of highly specialized technical professionals within our Microsoft Customer & Partner Solutions organization (MCAPS) who work with customers to enable some of the most complex and innovative solutions, providing differentiated technical leadership and guidance along the way. The AI team within the GBB organization consists of Specialist and Technology experts, who focus on specific domains, industries, and workloads, such as Azure OpenAI Service, Azure AI Services, Application Development and Machine Learning.












Microsoft is an equal opportunity employer. Consistent with applicable law, all qualified applicants will receive consideration for employment without regard to age, ancestry, citizenship, color, family or medical care leave, gender identity or expression, genetic information, immigration status, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran or military status, race, ethnicity, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable local laws, regulations and ordinances. If you need assistance and/or a reasonable accommodation due to a disability during the application process, read more about requesting accommodations.",4.3,"Microsoft
4.3",Sydney
Associate Professor / Professor (Practice) - Artificial Intelligence and Data Science,Employer Provided Salary:$212K,"The Opportunity
Working alongside the Director, the Associate Professor/Professor of Practice in Artificial Intelligence and Data Science will be responsible for delivering advanced AI and data science in support of the Monash Data Futures Institute research programs. This role will enrich the Institute’s research program by undertaking advanced data science and AI, working with researchers across all Faculties and campuses to identify opportunities for and support integration of research across thematic areas. This role will act as a conduit between universities, government and the business community.
The successful applicant will be responsible for, but not limited to:
Leading the artificial intelligence and data science project deliverables and plans for the Monash Data Futures Institute",4.2,"Monash University
4.2",Clayton North
Computer Vision/Machine Learning Software Engineer C++/Python,$90K - $148K (Glassdoor Est.),"Did you get into development to make the next newest and coolest application that makes people go ""WOW"" ? Good, read on...
Algorithmic creative software work
High tech, innovative data science mechatronics startup
World class design and development

One of Sydney's most innovative startups is looking for an engineer with a particular type of vision, one who in time is going to help shape the company's future. Someone who is technically gifted, curious and keen to know the future is before it happens. Aware of real world trends; the new, the mega and interesting and have a very good idea of the effects thereof. AN individual who has the technical capability to make the future they imagine - real.





Whats on offer?
What are they looking for?
Please apply directly or send me an email at michael@mantechit.com.au for a chat, thank you",4.0,"Mantech
4.0",Sydney
Computer Vision/Machine Learning Developer,$80K - $119K (Glassdoor Est.),"Revolutionize computer vision technology with a laser focus on delivering cutting-edge commercial applications in real-time, real-world settings.
Seeking talented individuals experienced in real-time computer vision and image processing to work on innovative algorithms and products.
Join a dynamic and upbeat workplace, with flexible hours and absolutely no unpaid overtime!
Our office is located in Port Melbourne, a short distance from the Melbourne CBD.
What you'll do:
Develop and implement computer vision and/or machine learning algorithms to solve complex problems, using programming languages such as Python, C++, or MATLAB.",4.5,"RunTime
4.5",Melbourne
Graduate | Data Science & Insights [bda0],Employer Provided Salary:$65K - $85K,"** This role is at Stockland (not for Hatch)
Hatch is supporting Stockland to find a great Graduate | Data Science & Insights to join their Data and Analytics team. Hatch exists to level the playing field for people as they discover a career that’s right for them. We model this in our hiring process for our partners like Stockland.
Applying here is the first step in the hiring process for this role.
About the role at Stockland
As a Data Science & Insights Graduate, throughout your two years, you will contribute to a high performing team by conducting analysis and building business intelligence solutions to enhance business understanding of customer behaviours and needs, marketing performance, and data-driven decisions across all operational areas of the organisations.",4.0,"Hatch
4.0",Sydney
Associate Director – Data & Analytics,$150K (Glassdoor Est.),"The purpose of this role is to facilitate delivery of best in class analytic and data assessments and roadmaps per established processes and templates in concert with other business disciplines, to manage and develop the team and serve as a point of escalation as needed.
Job Title:
Associate Director – Data & Analytics
Job Description:
dentsu is a network designed for what’s next, helping clients predict and plan for disruptive future opportunities and create new paths to growth in the sustainable economy through five global leadership brands; Carat, Dentsu Creative, dentsu X, iProspect and Merkle, each with deep specialisms.
Data in marketing and advertising communications is changing rapidly, as is the technology used to leverage it. As clients prepare for a cookieless, 1st party led world, they need help in designing and implementing analytical solutions to ensure effective media investment and optimisation.
Melbourne - 510 Church Street
Carat
Full time
Permanent",3.7,"Dentsu Aegis Network
3.7",Melbourne
Graduate Program | Data Science & Analytics [xw39],Employer Provided Salary:$65K - $85K,"** This role is at Capgemini (not for Hatch)
Hatch is supporting Capgemini to find a great Graduate Program | Data Science & Analytics to join their Data and Analytics team. Hatch exists to level the playing field for people as they discover a career that’s right for them. We model this in our hiring process for our partners like Capgemini.
Applying here is the first step in the hiring process for this role.
About the role at Capgemini
In the yearlong graduate program, you’ll be shown the ropes through foundation masterclasses, then depending on your skillset you’ll be off doing project work – it could be software development if that’s your jam, or organisational change management or business analysis if that’s what your skills are aligned to.",4.0,"Hatch
4.0",Sydney
Deep Learning Software Engineer,$140K - $182K (Glassdoor Est.),"The Deep Learning Software Engineer will work in a small and dynamic team to design and implement state of the art machine learning and computer vision algorithms, including detection and classification techniques spanning a range of sensor modalities.
KEY QUALIFICATION:
Understanding of state of the art deep learning techniques
Experience in productising deep learning and/or computer vision algorithms
Expert knowledge and experience with developing algorithms that must run efficiently on resource constrained platforms
Excellent programming skills of C/C++ and possibly Python
Experience with SoCor/and GPU acceleration",4.7,"BI Group
4.7",Melbourne
Senior Machine Learning Engineer - Computer Vision,$163K - $190K (Glassdoor Est.),"As part of the AI Research and Deployment team, you’ll be helping make this the best place in the world to do applied AI.

\uD835\uDDB6\uD835\uDDC1\uD835\uDDD2 join us?

\uD83D\uDC99 Do work that matters. We’re pioneering AI technologies that help raise the standard of healthcare for millions of people every day.
\uD83C\uDF0F Well-funded and global, backed by world-class investors including Blackbird Ventures, Skip Capital and Horizon Ventures. Raised Australia’s largest Series B ($129m) in 2021.
\uD83C\uDF1FWork with a bunch of awesome, genuine people who are passionate about what they do.
\uD83D\uDCBB Flexible and remote-friendly working
\uD83D\uDE80Make a real impact. You won’t be another ‘cog in the wheel’ here. We give full trust and autonomy for you to be heard, to work on the big hairy projects – and to make a real difference.",4.2,"Harrison.ai
4.2",Sydney
Senior Machine Learning Engineer (Computer Vision),$97K - $114K (Glassdoor Est.),"Anduril is a defence technology company, bringing Silicon Valley talent and funding to the defence sector. Our technology helps our customers solve their toughest challenges by enabling them to make better, more informed decisions in life-and-death situations. We’ve assembled a diverse team of experts in artificial intelligence, computer vision, sensor fusion, optics, and data analysis to create software and hardware solutions that radically evolve the defence capabilities of the United States, and are now seeking to replicate our successes internationally with a team based in Australia. If you are passionate about solving problems that have real impact, we want you to join Anduril and help us build the future of defence capability.

At Anduril Australia we are developing unmanned systems for subsurface and other domains that will leverage unsupervised autonomy for the delivery of long endurance, multi-mission capability to our customers. These projects, including but not limited to the Extra Large Autonomous Undersea Vehicle (XL-AUV) Program, require a Senior Machine Learning Engineer with deep experience developing, testing, validating and deploying machine-learning based sensor processing and the technical toolchains they rely on. The Senior Machine Learning Engineer strives to leverage their experience to rapidly architect, design, deliver, support, and evolve next generation autonomous vehicles through the entire product life-cycle.",4.6,"ANDURIL INDUSTRIES
4.6",Sydney
AI Data Scientist - Artificial Intelligence Engineer,Employer Provided Salary:$125.00 - $152.63 Per hour,"Be a part of a Pioneer AI program similar to ChatGPT.
Mostly WFH (Visit the office once or twice a month);
$1000 to $1221 per day Negotiable;
Initial 12 Months with Strong Prospect of Renewal;
Work on the very edge of latest technology;
EndUser Organization;

This team is almost a start up within a large, established end user organisation that is the biggest employer within the education sector in southern hemisphere.

They are building, from scratch, an artificial intelligence, deep learning Chatbot similar to ChatGPT and Bing but only better!

You will be joining a friendly team of Data Scientists and experts to achieve this pinnacle through various milestones within the coming months and possibly years.

You will have extensive detailed commercial experience within data science which spans across highly sophisticated software development with the use of mathematical modelling, Deep learning and statistical modelling as well as Python or similar programming languages.

In addition, you will have experience within a form of artificial intelligence Bot development, ideally GPT or Bing / Google, as well as detailed experience in the application of generative AI models.


Essential skills (must be precisely demonstrated using bullet points under each position):
Desirable but not essential experience:

If you meet the above criteria you will need to in order to secure a place in the shortlist for the interviews.

Best option is to apply using the application button. You can contact us on (02) 9687 1068 for a confidential discussion. However please ensure you have sent your resume prior to making contact.",,Infinity Pro,Sydney
Casual Lecturer | Data Science,$54K - $81K (Glassdoor Est.),"James Cook University Brisbane is a campus of James Cook University operated in partnership with Russo Higher Education Pty Ltd. Our Queen Street Campus offers both undergraduate and postgraduate programs in a range of business disciplines to international full fee paying students from a range of home countries.

JCU Brisbane has forged a reputation for making students job-ready in IT, data science, business, education, and tourism. According to the 2023 Good Universities Guide, JCU is number one in Queensland for graduate starting salary and full-time employment outcomes for graduates. The Brisbane campus began operations in 2006 and is one of the four campuses of JCU.

We are seeking applications for sessional lecturers in Information Technology and they will be responsible for teaching within the Information Technology discipline, which may include lectures, tutorials, computer laboratories, workshops, student consultation, marking and assessment activities.

The area of focus can include Data Science, Cybersecurity, Databases, Networking, Algorithms, Web Technologies, Mobile Technologies, Cloud Computing, and Software Engineering. Application to industry may be looked on favourably.

We embrace the diversity of our people and flexible working arrangements to ensure our workforce is representative of the communities that we serve.

To be eligible for this position you must have an appropriate visa to work in Australia/New Zealand.

Only shortlisted applicants will be contacted.",2.7,"Sarina Russo
2.7",Brisbane
Machine Learning Engineer,,"We are currently partnered with a cutting edge AI technology company in the look for their next Machine Learning Engineer to boost their capability to provide and enhance creativity with their forward thinking vision of technology.
We are looking for:
Strong programmers preferrably skilled in Python
Highly experienced in Machine Learning and Deep Learning models.
Previous experience in research papers implementation, GitHub repos and/or open source models.
The ability to work on both open-ended research problems and production-ready code will be highly regarded.",3.6,"Experis
3.6",Brisbane
"Professor in A.I & Machine Learning/Professor, Associate Professor & Senior Lecturer in Software Engineering",Employer Provided Salary:$128K,"Job no: 542570
Work type: Full-time
Location: Geelong - Waurn Ponds, Melbourne - Burwood
Categories: Engineering
Professor in Artificial Intelligence and Machine Learning/Professor in Software Engineering/Associate Professor in Software Engineering / Senior Lecturer in Software Engineering
Deakin is serious about growth and is seeking leaders in the disciplines of software engineering, and AI & machine learning who have the ambition to lead innovation in education and employability, research and industry engagement.
The School of Information Technology is positioned at the cutting edge of future industries and is home to three of the country’s leading IT strategic research centres:",4.2,"Deakin University
4.2",Melbourne
Software Engineer – Machine Learning & Optimisation,$80K - $100K (Glassdoor Est.),"Company Description

BlueScope is an Australian-born, global success story, spanning 18 countries, with a team of over 15,000 people. We’re driven by innovation and are proud that the technologies in our products and brands, like COLORBOND® steel, inspire and protect everything from hospitals and bridges to stadiums and homes.

Job Description

Want to solve software problems as well as manufacturing and business problems? Do you enjoy problem solving and analytics as much as you do writing code?",3.6,"BlueScope
3.6",Melbourne
Senior Machine Learning Engineer - Deep Learning & Computer Vision,$163K - $190K (Glassdoor Est.),"As part of the AI Research and Deployment team, you’ll be helping make this the best place in the world to do applied AI.

\uD835\uDDB6\uD835\uDDC1\uD835\uDDD2 join us?

\uD83D\uDC99 Do work that matters. We’re pioneering AI technologies that help raise the standard of healthcare for millions of people every day.
\uD83C\uDF0F Well-funded and global, backed by world-class investors including Blackbird Ventures, Skip Capital and Horizon Ventures. Raised Australia’s largest Series B ($129m) in 2021.
\uD83C\uDF1FWork with a bunch of awesome, genuine people who are passionate about what they do.
\uD83D\uDCBB Flexible and remote-friendly working
\uD83D\uDE80Make a real impact. You won’t be another ‘cog in the wheel’ here. We give full trust and autonomy for you to be heard, to work on the big hairy projects – and to make a real difference.",4.2,"Harrison.ai
4.2",Sydney
Senior Data Analyst/Scientist,$70K - $126K (Glassdoor Est.),"The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech organization with foci on data science and big data analytics innovation, education and training, and commercialization and services. IDA offers unique experiences and engagement models for bridging the gaps between academia and business, enabling industry and government `easy to do business with’ leading scientists and specialists in data & analytics, and building a platform for engagements and collaborations between outstanding researchers, practitioners and educators.
In data science and big data analytics, the IDA creates enablers for:
Leading the field of data science and analytics innovation, training and services by building think-tank and thought leadership, and next-generation of data scientists and professionals;",4.1,International Institute of Data & Analytics,Sydney
Research Fellow in AI Planning and Machine Learning,Employer Provided Salary:$107K - $122K,"551470
Canberra / ACT, ACT, Australia, 2601
Fixed Term
Closing on: Aug 1 2023
Position Description
Classification: Academic Level B
Salary package: $107,475- $121,857 plus 17% Superannuation
Term: Full time, Fixed Term (up to 2.5 years)
join the top research university in Australia",4.0,"Australian National University
4.0",Canberra
Senior Machine Learning Scientist,Employer Provided Salary:$190K,"Looking for an exciting opportunity to work with a company that is revolutionizing the world of Artificial Intelligence?

Join a rapidly growing, innovative tech company at the forefront of the industry. An opportunity to work on cutting-edge technologies and help drive real-world business outcomes for clients.

What’s in it for you:

Generous salary package - earn up to 190k base + super!
Monthly team events and training
Awesome and supportive team culture






• Experience with other Artificial Intelligence technologies (Knowledge Engineering, Planning and • Scheduling, Distributed AI, and Multi-agent systems) is a plus.",4.5,"RunTime
4.5",Adelaide
Machine Learning Data Engineer,$91K - $134K (Glassdoor Est.),"George Weston Foods make and supply some of Australia & New Zealand's favourite and most innovative brands and products. GWF's product range is diverse and includes leading brands of breads, baked goods, smallgoods, dips, flour, milled products, animal feed and hygiene solutions. We are one of ANZ's largest food manufacturers employing over 6000 people, across 50+ sites.
GWF is a wholly owned subsidiary of Associated British Foods plc, a diversified international food, ingredients and retail group with sales of £15.4bn, 133,000 employees and operations in 53 countries around the world.
The Role: Reporting to the GWF Head of Advance Analytics & B.I., this role will support GWF business units to develop and mature their Advance Analytical capabilities through development of machine learning, data pipeline integration activities and the development/maintenance of machine learning models.

On a day-to-day basis, you will:

You'll join a supportive team where you can broaden your experience in a fast-paced environment. We offer a competitive remuneration package, flexible work environment, free product daily, company paid parental leave, income protection insurance through our default Super fund, discounted private health insurance, access to novated leasing and study assistance.
Sound like a good fit? Apply now.. We'd love to hear from you! Our people are the heart of business and are led by our four key values; Safe, Courageous, Trusting and Collaborative. By supporting their ability to work effectively and providing them with the tools they need to succeed, we are ensuring that we are the kind of company where talented people of all backgrounds want to work. Across our organisation, we're creating a workplace where collaboration is important, courage is rewarded, trust is expected, and a strong safety mindset is the norm.",3.7,"GWF
3.7",Sydney
Machine Learning Engineer,Employer Provided Salary:$120K - $170K,"Mathspace is on a mission to change maths education, by helping students and teachers with smarter, interactive learning software.
We’re an agile run, product-orientated company that focuses on delivering value through continual customer feedback, enabling students and teachers to have a delightful experience through learning mathematics.
As an ML engineer working on a research-oriented product team, you will:
Work closely with our product manager and infrastructure teams
Improve the ML systems that include diagnosing student ability, estimating student knowledge profiles and recommending appropriate topics
Enrich the Mathspace web and mobile apps that help teach hundreds of thousands of students every month across the world",4.3,"Mathspace
4.3",Sydney
Senior Data Scientist - 12 month Fixed Term (Maternity Leave Cover),$100K - $120K (Glassdoor Est.),"12 month Fixed Term (Maternity Leaver Cover)
Be part of one of the most innovative companies in Australia
A place to be yourself and thrive professionally and personally
Recognised as a Top 10 place to work for women (by Work180) & Top 25 companies for career development (by LinkedIn)

About Us
Sportsbet is a leading Australian e-commerce business in the online wagering sector, bringing excitement to over 2 million Aussies. We do this by living our values to create an innovative entertainment brand, trailblazing products and best-in-class platforms that deliver great experiences to our customers.",4.0,"Sportsbet
4.0",Melbourne
Computer Vision & Machine Learning Engineer 80-100% (m/f/d),$86K - $150K (Glassdoor Est.),"Zollikofen, Bern
Jetzt bewerben
We are one of the international market leaders for intelligent people flow solutions and meet challenges at airports, in retail, transportation and building management. Our in-house, Swiss made hardware and software for precise people counting optimize people flow while respecting data privacy. We are committed to the success of our customers and create a sense of safety and comfort for people on the move. Our highly precise 3D stereo vision technology in combination with AI is the foundation for our success. While Xovis consists 130 crew members worldwide, we have kept our start-up spirit.",3.3,"Xovis AG
3.3",Research
Senior Machine Learning Engineer,$168K - $216K (Glassdoor Est.),"Primary Details
Time Type: Full time
Worker Type: Employee
Senior Machine Learning Engineer
The opportunity
Join QBE’s high performing data and analytics function
Demonstrate your subject matter expertise in a senior role
Permanent full time position with flexible location
Your new role
This is a career defining opportunity for an experienced Senior Machine Learning Engineer to join QBE Insurance's growing Data and Analytics team. Reporting into the Head of Analytics, you will be responsible for delivering data science solutions to optimise business processes and providing decision support to improve the quality and performance of various business units. As part of a high performing data science team you will drive standards for ML Ops and best practice data engineering, ensuring solutions are production quality and meet business needs. You will provide thought leadership on how to scale analytics solutions, design architectures, and communicate complex solutions to stakeholders in the business, IT and Digital teams.
Application Close Date: 26/07/2023 11:59 PM",4.0,"QBE
4.0",Sydney
"Senior Associate, Finance Data Science",$103K - $119K (Glassdoor Est.),"Work type: Permanent Full time
Location: NSW- Sydney CBD
Finance people play a pivotal role in ensuring that our customers are at the centre of everything we do.
Your contribution is what matters, not your background.
You’ll have consistent, open, and targeted development conversations, driven at your desired pace.
It’s more than a career at NAB. It’s about more opportunity, more moments to make a difference and more focus on you.
Your job is just one part of your life. When you bring your ideas, energy, and hunger for growth to us, you’ll be recognised and rewarded for your contribution in return. You’ll have our support to excel for our customers, deliver positive change for our communities and grow your career.",3.9,"NAB - National Australia Bank
3.9",Sydney
Expressions of Interest - Data & Machine Learning Consultant,Employer Provided Salary:$100K,"DAIMLINC is a cloud, data and machine learning consulting firm based in Sydney. With a wealth of experience, we excel in developing secure, high-performing, and scalable data, AI, and ML solutions tailored to the needs of large global enterprises. Our team is dedicated to assisting organizations in making intelligent, data-driven decisions by effectively interpreting their data and transforming it into valuable, actionable insights. We take pride in our ability to deliver meaningful information that drives impactful outcomes.
As trusted partners of AWS and Databricks, we are actively seeking skilled Data & Machine Learning consultants to join our team in Sydney. Join us and become part of our collaborative team of experts dedicated to delivering innovative solutions in the field of data and machine learning.
About the role:",,Daimlinc,Sydney
Lecturer or Senior Lecturer in Data Science,Employer Provided Salary:$103K - $122K,"Reference Number223140 - Lecturer or Senior Lecturer in Data Science
Lecturer/Senior Lecturer in Data Science
School of Science & Technology - SABL
Continuing, full-time
$ 102,546 to $ 121,534 per annum (Level B) or $ 125,329 to $144,321 (Level C)
Plus 17% employer superannuation
Salary packaging options are available
Relocation assistance provided
Location: Armidale or Parramatta",2.9,"University of New England (UNE)
2.9",Armidale
Staff/Principal Machine Learning Engineer,Employer Provided Salary:$170K - $220K,"Mutinex is a startup B2B SaaS platform that provides in-depth data analytics for marketers to better understand their ROI and make better decisions with future spend.
Founded in Australia and with recent seed capital ($5 million, backed by EVP) we are growing our team to continue to improve our product, bring in new customers and increase our customer satisfaction.
We are a hybrid work environment with no set or minimum days in office and with teams in Sydney, Melbourne and expanding into the US soon.
The role
This role will lead the machine learning engineering area at Mutinex and as the owner of ML related infrastructure and pipelines, you will ensure the data scientists are able to experiment, train and deploy models with minimal friction.",,Mutinex,Redfern
Associate Professor / Professor (Practice) - Artificial Intelligence and Data Science,Employer Provided Salary:$212K,"The Opportunity
Working alongside the Director, the Associate Professor/Professor of Practice in Artificial Intelligence and Data Science will be responsible for delivering advanced AI and data science in support of the Monash Data Futures Institute research programs. This role will enrich the Institute’s research program by undertaking advanced data science and AI, working with researchers across all Faculties and campuses to identify opportunities for and support integration of research across thematic areas. This role will act as a conduit between universities, government and the business community.
The successful applicant will be responsible for, but not limited to:
Leading the artificial intelligence and data science project deliverables and plans for the Monash Data Futures Institute",4.2,"Monash University
4.2",Clayton North
Computer Vision/Machine Learning Software Engineer C++/Python,$90K - $148K (Glassdoor Est.),"Did you get into development to make the next newest and coolest application that makes people go ""WOW"" ? Good, read on...
Algorithmic creative software work
High tech, innovative data science mechatronics startup
World class design and development

One of Sydney's most innovative startups is looking for an engineer with a particular type of vision, one who in time is going to help shape the company's future. Someone who is technically gifted, curious and keen to know the future is before it happens. Aware of real world trends; the new, the mega and interesting and have a very good idea of the effects thereof. AN individual who has the technical capability to make the future they imagine - real.





Whats on offer?
What are they looking for?
Please apply directly or send me an email at michael@mantechit.com.au for a chat, thank you",4.0,"Mantech
4.0",Sydney
